Benchmark,sampling-base,sampling-uclocks,sampling-ol
auctionmark,1523.30662162249,1555.2965676927774,1415.8166661569728
chbenchmark,2327.8684453438104,2292.323587145523,2414.8491942037035
epinions,17082.983845298,16777.09761261901,18221.579997934885
resourcestresser,2.179999701921374,1.8899999308197026,2.209999897360238
seats,744.9599293728323,749.5232802221137,803.6599297494066
sibench,715.8575657410813,732.1798956236896,791.43568892301
smallbank,1846.6599340311518,2103.9797736187897,2092.5699082547603
tatp,31302.80590006095,38447.386467197815,47637.85434919772
tpcc,111.00997616245779,113.41329874832593,115.05330449138745
twitter,11292.842847891661,20403.44665170414,15561.19825273679
voter,2532.626403974214,2704.1861607855476,2703.1326575051166
wikipedia,15511.153318546034,12825.352420553001,17078.190985082074
ycsb,6768.545058753664,9471.413247838043,9439.1783273776